time,I
44.663635,7.63
44.778305,7.16
44.953770,8.51
44.997364,7.16
45.134504,7.16
45.197615,7.16
45.316912,7.16
45.493741,7.16
45.675016,7.16
45.727626,7.16
45.853454,7.63
45.928684,7.63
46.037776,7.16
46.216426,8.03
46.396989,8.51
46.461857,8.03
46.576876,7.16
46.754066,8.03
46.935432,7.16
46.936748,6.68
47.113390,8.51
47.303057,6.68
47.475020,7.63
47.653116,8.03
47.729046,5.81
47.836976,7.63
48.015575,6.68
48.196444,7.16
48.374098,7.63
48.397545,7.16
48.556463,7.63
48.733436,8.03
48.921275,6.68
49.096580,7.63
49.129391,7.16
49.276221,6.28
49.333652,6.68
49.454540,6.68
49.636572,0.88
49.676199,0.00
49.816986,7.16
49.862459,6.68
49.993411,7.16
50.077204,7.16
50.173665,6.68
50.353238,7.16
50.394703,8.51
50.535490,8.03
50.596592,7.16
50.716183,7.16
50.896822,7.16
51.073835,6.28
51.129675,8.51
51.255739,7.16
51.329309,7.16
51.438147,7.16
51.612727,8.03
51.794399,7.16
51.863166,8.51
51.974076,6.68
52.163067,7.63
52.335246,8.51
52.397764,7.63
52.515486,8.03
52.694139,8.51
52.875249,8.51
53.057438,7.16
53.129356,7.16
53.237466,7.63
53.414147,8.03
53.594416,7.63
53.773558,7.63
53.796913,7.16
53.955785,6.68
54.133143,6.68
54.315966,7.16
54.331105,7.16
54.496099,6.28
54.529071,7.63
54.676773,6.68
54.855077,7.16
55.036760,7.16
55.061976,8.03
55.215339,6.28
55.262573,7.63
55.393738,6.28
55.463454,7.16
55.575595,6.68
55.756709,7.16
55.805364,7.16
55.940043,7.63
55.997725,7.16
56.113213,7.63
56.295526,6.68
56.474563,6.28
56.529884,7.16
56.659420,7.16
56.728872,8.51
56.837971,7.16
57.015361,7.63
57.018977,7.16
57.195249,5.81
57.263441,7.16
57.377296,5.81
57.556267,7.16
57.735814,7.63
57.796665,7.16
57.915690,6.68
58.096663,5.81
58.276873,7.63
58.454420,7.16
58.529342,6.68
58.636601,7.16
58.813713,7.63
58.997464,8.51
59.172363,5.81
59.355612,7.16
59.535513,8.03
59.713992,5.81
59.727806,8.03
59.894084,7.16
59.928835,7.16
60.073915,7.16
60.256793,7.63
60.436236,7.63
60.462709,7.16
60.615020,7.16
60.663125,7.16
60.794513,4.46
60.862991,0.00
60.973359,6.28
61.153581,7.63
61.196310,8.03
61.335346,7.16
61.396663,6.68
61.515201,7.63
61.694332,7.63
61.873001,7.16
61.938923,6.68
62.055284,5.81
62.128815,7.16
62.236056,6.28
62.414227,7.16
62.462209,7.16
62.595658,7.16
62.662312,6.68
62.772383,7.16
62.953973,7.16
63.132737,7.63
63.195948,6.68
63.313733,7.16
63.497444,7.16
63.673879,8.51
63.853448,7.16
63.928238,7.63
64.035595,7.16
64.213417,6.68
64.393511,7.63
64.573451,6.68
64.752763,7.63
64.934399,7.16
65.112820,7.16
65.128744,6.68
65.295084,7.16
65.331273,7.63
65.471678,7.63
65.653495,6.68
65.834439,8.03
65.861590,7.16
66.012923,8.51
66.062087,8.03
66.193147,7.16
66.373850,7.16
66.553960,5.40
66.593632,0.88
66.734288,7.63
66.797709,7.63
66.917020,4.46
67.092123,0.00
67.094527,0.00
67.273549,0.00
67.332409,0.00
67.456645,0.00
67.527997,0.00
